,movie,year,timeMin,imdb
0,Zack Snyder's Justice League,2021,242,8.2
1,Avengers: Endgame,2019,181,8.4
2,Sound of Metal,2019,120,7.8
3,The Trial of the Chicago 7,2020,129,7.8
4,Soul,2020,100,8.1
5,Another Round,2020,117,7.8
6,The Dark Knight,2008,152,9.0
7,Avengers: Infinity War,2018,149,8.4
8,Watchmen,2009,162,7.6
9,Joker,2019,122,8.4
10,The Godfather,1972,175,9.2
11,Once Upon a Time... In Hollywood,2019,161,7.6
12,The Shawshank Redemption,1994,142,9.3
13,Interstellar,2014,169,8.6
14,Blade Runner 2049,2017,164,8.0
15,Parasite,2019,132,8.6
16,Guardians of the Galaxy,2014,121,8.0
17,Bohemian Rhapsody,2018,134,8.0
18,The Gentlemen,2019,113,7.8
19,The Lord of the Rings: The Fellowship of the Ring,2001,178,8.8
20,Thor: Ragnarok,2017,130,7.9
21,Harry Potter and the Sorcerer's Stone,2001,152,7.6
22,Inception,2010,148,8.8
23,Back to the Future,1985,116,8.5
24,The Wolf of Wall Street,2013,180,8.2
25,Captain America: The Winter Soldier,2014,136,7.7
26,Captain America: Civil War,2016,147,7.8
27,Titanic,1997,194,7.8
28,The Avengers,2012,143,8.0
29,Pulp Fiction,1994,154,8.9
30,Knives Out,2019,130,7.9
31,Captain Fantastic,2016,118,7.9
32,300,2006,117,7.6
33,Gone Girl,2014,149,8.1
34,Tombstone,1993,130,7.8
35,Jojo Rabbit,2019,108,7.9
36,Deadpool,2016,108,8.0
37,1917,2019,119,8.3
38,Alien,1979,117,8.4
39,Jurassic Park,1993,127,8.1
40,Deadpool 2,2018,119,7.7
41,Goodfellas,1990,146,8.7
42,Iron Man,2008,126,7.9
43,Dazed and Confused,1993,102,7.6
44,Into the Wild,2007,148,8.1
45,The Dark Knight Rises,2012,164,8.4
46,Mad Max: Fury Road,2015,120,8.1
47,The Silence of the Lambs,1991,118,8.6
48,Forrest Gump,1994,142,8.8
49,Avatar,2009,162,7.8
